  0.0000e+00,  0.0000e+00,  0.0000e+00,  0.0000e+00
  1.0000e-09,  9.9950e-04, -4.5495e-05,  9.5788e-07
  2.0000e-09,  1.9922e-03, -1.8169e-04,  3.8315e-06
  3.0000e-09,  2.9695e-03, -4.0751e-04,  8.6209e-06
  4.0000e-09,  3.9228e-03, -7.2107e-04,  1.5326e-05
  5.0000e-09,  4.8440e-03, -1.1197e-03,  2.3947e-05
  6.0000e-09,  5.7249e-03, -1.5999e-03,  3.4484e-05
  7.0000e-09,  6.5580e-03, -2.1574e-03,  4.6936e-05
  8.0000e-09,  7.3361e-03, -2.7874e-03,  6.1305e-05
  9.0000e-09,  8.0525e-03, -3.4843e-03,  7.7589e-05
  1.0000e-08,  8.7011e-03, -4.2417e-03,  9.5788e-05
  1.1000e-08,  9.2765e-03, -5.0531e-03,  1.1590e-04
  1.2000e-08,  9.7737e-03, -5.9110e-03,  1.3794e-04
  1.3000e-08,  1.0189e-02, -6.8079e-03,  1.6188e-04
  1.4000e-08,  1.0518e-02, -7.7357e-03,  1.8775e-04
  1.5000e-08,  1.0760e-02, -8.6861e-03,  2.1552e-04
  1.6000e-08,  1.0911e-02, -9.6505e-03,  2.4522e-04
  1.7000e-08,  1.0972e-02, -1.0620e-02,  2.7683e-04
  1.8000e-08,  1.0942e-02, -1.1587e-02,  3.1035e-04
  1.9000e-08,  1.0822e-02, -1.2541e-02,  3.4580e-04
  2.0000e-08,  1.0613e-02, -1.3475e-02,  3.8315e-04
  2.1000e-08,  1.0318e-02, -1.4380e-02,  4.2243e-04
  2.2000e-08,  9.9396e-03, -1.5248e-02,  4.6362e-04
  2.3000e-08,  9.4823e-03, -1.6071e-02,  5.0672e-04
  2.4000e-08,  8.9506e-03, -1.6842e-02,  5.5174e-04
  2.5000e-08,  8.3497e-03, -1.7554e-02,  5.9868e-04
  2.6000e-08,  7.6856e-03, -1.8200e-02,  6.4753e-04
  2.7000e-08,  6.9649e-03, -1.8775e-02,  6.9830e-04
  2.8000e-08,  6.1946e-03, -1.9274e-02,  7.5098e-04
  2.9000e-08,  5.3823e-03, -1.9692e-02,  8.0558e-04
  3.0000e-08,  4.5358e-03, -2.0026e-02,  8.6209e-04
  3.1000e-08,  3.6635e-03, -2.0273e-02,  9.2053e-04
  3.2000e-08,  2.7736e-03, -2.0431e-02,  9.8087e-04
